iter	Logloss
229	0.3445101499
230	0.3444249305
231	0.3443013038
232	0.3439963196
233	0.3437872101
234	0.3435155331
235	0.3434589277
236	0.343323161
237	0.3431663468
238	0.3427179575
239	0.3425037239
240	0.3423980797
241	0.3421099765
242	0.3420800934
243	0.3418926061
244	0.3416013662
245	0.3413049541
246	0.3412536166
247	0.3411106904
248	0.3410542048
249	0.340895068
250	0.3408562296
251	0.3406460187
252	0.3401091296
253	0.3395880201
254	0.3392450835
255	0.3391202835
256	0.3390619062
257	0.3389338976
258	0.3388645057
259	0.3385275552
260	0.3383213431
261	0.3382406493
262	0.3380093191
263	0.3378880869
264	0.3378282729
265	0.3374237743
266	0.3373466962
267	0.3372677743
268	0.3372488579
269	0.3372194538
270	0.3371769758
271	0.3367735787
272	0.3365401653
273	0.336526421
274	0.3362912357
275	0.3361773306
276	0.3359697296
277	0.3359168836
278	0.3358718435
279	0.3357976627
280	0.3357579144
281	0.3354916009
282	0.3354780482
283	0.3352437728
284	0.3351406668
285	0.3348747843
286	0.3348492113
287	0.3342315327
288	0.3339281767
289	0.3336845389
290	0.333507252
291	0.3334720053
292	0.3333617637
293	0.3333061161
294	0.3330385097
295	0.3329881778
296	0.3326457679
297	0.3326251276
298	0.3324614413
299	0.3323871886
300	0.3322749596
301	0.3320734646
302	0.3319239775
303	0.3316576641
304	0.3313988693
305	0.3312368591
306	0.3311728788
307	0.3310052177
308	0.3308218967
309	0.330432196
310	0.3303568897
311	0.3298642026
312	0.3296207085
313	0.3296164224
314	0.3294184712
315	0.3291591736
316	0.3289294477
317	0.3288513878
318	0.3282733138
319	0.328051346
320	0.3280440189
321	0.3280080539
322	0.3279114608
323	0.3278776747
324	0.327759675
